project_id;project_name;description;category;cost;district;votes
116;Création d’abris pour la faune;La création d’abris à chauve souris, oiseaux et insecte. Recréer une chaîne alimentaire urbaine qui aura pour avantage entre autres de diminuer la présence de moustiques.Modalités de réalisation - Avis technique :Ce projet est réalisable , si l'idée est votée, pose de douze nichoirs à oiseaux sur le site des argoulets et au jardin du bout du monde à Amouroux et d'un hôtel à insectes aux argoulets. Concernant les nichoirs à chauves souris l'analyse technique de la direction compétente relève que leur installation n'apporte pas de solution à la problématique des moustiques tigres qui ont une activité diurne alors que les chauves souris ont une activité nocturne, il est donc proposé d'installer des pièges pondoirs en remplacement.;Nature en ville;4000.0;10 - Jolimont / Soupetard / Roseraie / Gloire / Gramont / Amouroux;38
180;Pépinière-jardin du quartier Reynerie-Bellefontaine;"Pour accompagner le projet ""quartier fertile"" de la métropole, nous proposons d'installer, sur le quartier Reynerie-Bellefontaine, une ""pépinière-jardin de quartier"" qui aura pour objectif la production de jeunes plants variés (plantes annuelles, vivaces et ligneuses) pour accompagner le besoin en végétalisation durable de ce quartier, et celle plus largement de la métropole, qui doit lutter contre la perte de biodiversité et participer à diversifier notre assiette en retrouvant l'usage de plantes oubliées. Cette production sera émancipée des ressources fossiles, autonome grâce au matériel végétal du jardin conservatoire, et participatif avec l'implication des habitants, notamment les riverains, ainsi que grâce à des partenariats avec des acteurs à proximité permettant de rendre les activités et les produits accessibles aux personnes les plus fragiles et aux jeunes de ce quartier. Nous cherchons à installer le lieu sur une parcelle au sol dégradé par les activités humaines, afin de démontrer la capacité de valorisation du paysage et cadre de vie des habitants, par nos actions (régénération d'un sol et végétalisation, lien social, dynamique économique,...).Modalités de réalisation - Avis technique :La collectivité pourra mettre à disposition, de manière temporaire, un terrain aménagé raccordé à l’eau, sur le secteur sud-est de Reynerie.Ce projet consiste à aménager des friches pour permettre la culture (mise à disposition du terrain, travaux d’arrosage, clôture et mobilier, installation de points d’eau et d’électricité), un appel à projet devra être lancé pour trouver une structure pour l’animation de cette pépinière.";Nature en ville;75000.0;17 - Mirail-Université / Reynerie / Bellefontaine;20
124;Toilettes publiques Bois de Limayrac;Créer des toilettes publiques dans le bois de Limayrac, plutôt proches de la zone de jeux pour enfants.Modalités de réalisation - Avis technique : Cette idée est réalisable.;Cadre de vie;60000.0;11 - Bonhoure / Guilheméry / Château de l'Hers / Limayrac / Côte Pavée;23
13;Esthétique des conteneurs de recyclage;à Céret dans les PO, j'ai vu une belle idée: habiller les containers de recyclage de photos. Comme vous ventez l'œuvre de Dieuzaide sur Toulouse ce serait une idée? Je peux vous fournir une photo...Modalités de réalisation - Avis technique :Il peut être proposé une expérimentation sur quelques conteneurs avec des photos d’archives du quartier libres de droits. Le coût total d’un tel projet a été estimé sur la base de 6 conteneurs.;Cadre de vie;4000.0;1 - Capitole / Arnaud Bernard / Carmes;14
37;Clarifier les priorités à la sortie de la rue Réclusane;Proposition : Clarifier voire repenser les règles de priorité au débouché de la rue Réclusane. Pourquoi ce besoin : Les voitures et vélos sortant de la rue Réclusane vers les allées Charles de Fitte bénéficient en principe de la priorité à droite en s'engageant. Dans la pratique, cette règle semble peu respectée par les personnes circulant sur les allées Charles de Fitte. Par ailleurs, les règles de priorité entres vélos et voitures ne sont pas si claires en pratique (carrefour ou des vélos venant des allées ou des pistes cyclables traversent ou s'engagent vers la rue Réclusane. Cela peut mener à des incompréhensions, colère voire danger de collision.Modalités de réalisation - Avis technique :Clarifier les sens de sortie sur la rue Réclusane et faciliter la traversée piétonne, en refermant le carrefour et en gommant la voie dédiée à l’accès de l’hôpital. Cet accès, utilisé pour les accès secours et quelques livraisons, pourraient être aménagé en trottoir avec un accès limité au CHU. La mise en œuvre d’un Cédez le Passage au débouché de Réclusane sur les allées Charles de Fitte permettra par ailleurs une meilleure lisibilité de l’ensemble.;Cadre de vie;40000.0;6 - Saint-Cyprien;9
163;Réouverture des espaces verts des bords de Garonne aux Toulousains;"Avec la crise du covid, pas moins de 2ha d'espaces verts en bord de Garonne ont été fermés au public au niveau de la maison de retraite CCAS de ducis ; espaces verts comprenant des zones arborées, des pelouses, un étang et les rives de la Garonne avec la présence de plusieurs espèces protégées. Actuellement dans le quartier le premier espace vert public est soit le jardin du Barry (à 1km) ou les jardins Raymond VI (à 2km) alors que notre quartier situé en bord de Garonne dispose de nombreux potentiels d'espaces verts pour les riverains non exploités dont le parc Ducis fait partie (on peut citer également les arènes romaines ou le parc autour du château de la Flambère ) L'objectif serait d'ouvrir le site au croisement de 2 quartiers Ancely et Casselardit avec 4 objectifs : - recréer le lien social entre les résidents de l'EPHAD et les familles / enfants fréquentant le parc - apporter une ambition en terme d'aménagement (reverdir l'espace)/ gestion du parc (proposer une gestion plus extensive) - apporter une plus-value écologique du parc inclus dans la trame verte et bleue de la métropole, pouvant s'intégrer dans le grand parc garonne et pouvant être valorisé en site de compensation dans le cadre de projets d'aménagement locaux - sensibiliser les écoles / riverains à proximité à la biodiversité et à la prise en considération de la nature en ville de la Métropole Parmi les idées pouvant être mises en place : - remplacer pour partie la tonte hebdomadaire des espaces verts par une fauche extensive / pâturage favorable aux espèces des milieux ouverts type éco-pâturage - planter des arbres sur des secteurs ciblés pour permettre de créer des zones aménagées pour les riverains (picnic, détente...) ainsi que des ilots de fraicheurs - planter des haies champêtre côté avenue de casselardit pour isoler le parc de l’avenue - vérifier la présence de chauve souris dans les combles du château et proposer des mesures de gestion suivi (camera nocturnes) - créer un jardin partagé école / Ephad - créer une zone d'observation des oiseaux d'eau (grand cormoran, héron...) entre le château et la Garonne - créer une aire de Jeux en bois, avec des parcours d’équilibrePour se faire, il faudrait réaliser un état zéro du site avec une participation des riverains / école / résidents EPHAD, découverte de la biodiversité insoupçonnée du parc Ce site s'intègre parfaitement dans la politique métropolitaine en faveur de la biodiversité (trame verte et bleue / participation citoyenne intergénérationnelle / 100000 arbres...) Ce site est également situé en bord d'une piste cyclable aménagée et très fréquentée ainsi que le long du GR86.Modalités de réalisation - Avis technique :Un programme de plantation sur ce site est déjà établi avec le choix des essences et les lieux de plantation. Ces plantations seront réalisées à l’automne. L’ouverture au public d’une partie du parc devra respecter les contraintes liées à l’accueil des résidents de l’EPHAD (raisons sanitaires et de sécurité).Les installations proposées dans cette idée devront être étudiées au regard du coût de rachat du foncier.";Nature en ville;200000.0;20 - Arènes Romaines / Ancely / Saint-Martin du Touch / Purpan;164
160;Eclairage passage piéton ;Le long de la voie ferrée ill existe un passage piéton entre la gare saint martin du touch vers un parc d'activités avec de grandes sociétés ATOS, ECA AEROSPACE... il est très emprunté à l'entrée et la sortie des bureaux mais éclairé inutilement toute la nuit sans passage. Cela crée une pollution visuelle d'autant plus que les poteaux lumineux sont très hauts en bois. Je propose des poteaux lumineux plus bas pour un passage piéton à led avec une détection pour être en mode 10% la nuit en veille puis 100% au passage. Gain d'énergie et de pollution visuelle.Modalités de réalisation - Avis technique : La solution technique de la détection de forme humaine permet de répondre à tous les enjeux propres à l’éclairage public : protection du ciel étoilé, de la faune et de la flore par un éclairage presque « nul » si pas d’usage de l’espace, mais garantie d’une lumière sécuritaire et rassurante pour les usagers éventuels la nuit.Ce site pourrait bénéficier de cette solution innovante.  L’objectif de déploiement sur la ville de Toulouse est de 30% du parc en 2030, soit 20 000 appareils.;Énergie;20000.0;20 - Arènes Romaines / Ancely / Saint-Martin du Touch / Purpan;8
71;Planter des arbres et jardins partagés partout où c'est possible!;"Une voisine exploite un bout du terrain du supermarché de quartier pour y planter des graines, des arbustes avec leur aval; c'est une propriété privée mais visible de tous. L'idée est excellente je trouve. Pourquoi ne pas ""réquisitionner"" tous les lopins de terre accessibles et y planter des arbres, des fleurs, des légumes et laisser aux gens du quartier le soin de l'entretenir. Je pense qu'il faut planter un maximum d'arbres qui permettront à la ville de maintenir des températures plus basses, réduire nos consommations, rendre la ville plus belle et en plus cela peut nous permettre de récolter des fruits et des légumes pour ceux qui n'ont pas de jardin ou assez d'espace, ou encore qui ne peuvent pas s'acheter de fruits et légumes. Les minimes était une terre agricole, la terre est riche.Modalités de réalisation - Avis technique :La Collectivité a lancé un Plan arbres depuis 2019, quasiment 20 000 arbres ont déjà été plantés depuis. Cette idée est donc réalisable sur des espaces publics et pour la réaliser, il faudra travailler en partenariat avec des associations de quartier sur des projets de végétalisations citoyennes pour trouver des sites adéquats. Il conviendra en suivant de réaliser un diagnostic pour les plantations en milieu urbain, toujours à cause des réseaux. Concernant la culture vivrière cette idée peut s’inscrire dans la création d'un jardin partagé notamment dans le cadre du réaménagement à venir du quartier de Bourbaki, dont les concertations avec le public devraient démarrer à partir de 2023.";Nature en ville;20000.0;8 - Minimes / Barrière de Paris / Ponts-Jumeaux / La Vache / Raisins / Fondeyre;243
42;Compostage commun/jardin participatif - Croix de PIerre;Proposer un compostage commun pour le quartier croix de pierre, et/ou un jardin participatif (sur l'île du ramier ou tout autre lieu capable d'acceuillir un tel projet) en lien avec l'utilisation du compost. (ou compostage seul)Modalités de réalisation - Avis technique :Implantation d'un composteur collectif sur le quartier Croix-de-Pierre route d'Espagne, sous réserve de l'implication de 30 foyers au minimum pour que cela fonctionne. La localisation pourra être définie en concertation avec les riverains.;Déchets et Recyclage;7000.0;15 - Croix de Pierre / Route d'Espagne;30
88;Remplacer les feux tricolores actuels de la Route de Blagnac par des feux récompenses et ajouter de nouveaux feux à tous les passages piétons;"Le feu récompense est un moyen simple pour inciter les conducteurs à respecter les limites de vitesse. Le 30km/h sur les petits tronçons existant comme devant les écoles n'est pas respecté de même que le 50km/h surtout la nuit. Par ailleurs, une demande de limiter le quartier à 30km/h a été faite dans une autre proposition et sans moyen incitatif cette proposition ne changera en rien la vitesse des conducteurs (c'est déjà le cas à Paris). Il faut des moyens coercitifs. https://www.lesechos.fr/2003/12/le-feu-qui-passe-au-rouge-en-cas-dexces-de-vitesse-679290Modalités de réalisation - Avis technique :Un feu vert récompense ne doit en aucun cas être associé à un passage piéton ou un carrefour ; il doit être en section courante de voirie. Il est possible d'envisager un tel dispositif route de Blagnac dans sa partie nord entre le rond-point Pierre Mounicq et le rond-point Jean Bégué.";Cadre de vie;55000.0;7 - Sept Deniers / Ginestous-Sesquières / Lalande;9
