project_id;year;project_name_eng;description_eng
136;2022;Bike lane on Saint-Exupéry Avenue;When you live near Place de l'Ormeau, cycling into town is dangerous. Wouldn't it be possible to consider creating a proper bike lane there? The need exists because there is the Anatole France college at the bottom of the avenue. A secure bike path would allow middle school students to cycle. Since the avenue is narrow, could a one-way system not be considered for Avenue Saint-Exupéry and Avenue Jean Rieux? Implementation details - Technical opinion: Improvement of cycling facilities on Avenue Saint-Exupéry. These transitional arrangements will eventually be replaced by the Agglomeration Cycling Network.
7;2022;Create dedicated and well-defined bike and pedestrian paths;"To promote cohabitation between pedestrians and cyclists, create dedicated and well-defined lanes for each. This includes Alsace Lorraine Street where cohabitation is really complicated and dangerous. And implement measures to ensure these are respected, with reminders if necessary.

Implementation details - Technical opinion:
Dedicating spaces to cyclists or pedestrians separately echoes increasing demands, and ongoing development projects tend to take them into account. This is the case for the redevelopment of Metz Street and the Rive Droite-Rive Gauche project.

Alsace Lorraine Street presents two distinct profiles: an area with a traffic lane for vehicles and a central square without motor vehicle traffic.

Currently, cyclists predominantly use the central lane designated for automobile traffic.

A pedestrian/cycle separation can be experimented with for 6 months, using yellow markings with bike logos and chevrons in the center of the road and marked counterflow (similar to the concept of a bike street). Repeating the logos every 20 meters will allow clear visualization by pedestrians.

If this experiment leads to an improvement in terms of pedestrian/cycle usage conflicts, a permanent arrangement can be considered."
5;2022;Greening of the Place du Capitole;"To add even more majesty to this iconic location in the pink city, this square could be surrounded by greenery: planting of trees, containers... Implementation details - Technical opinion: The development of the Place du Capitole is limited due to a number of constraints:
- presence of an underground parking lot over much of the square, preventing full-ground plantings,
- a location in a protected sector, thus requiring prior compliant opinion from the Architecte des Bâtiments de France,
- numerous events and uses on the square necessitating the maintenance of a surface free of any obstacles.
However, it is possible to deploy square planters of 1.5m by 1.5m or 2m by 2m made of ""Corten"" type steel allowing for the planting of trees. These planters could be placed along the facade of the Capitole to emphasize the rhythm of this building. Additional placements on either side of the square are also conceivable."
132;2022;Mosquito Control;Installation of mosquito traps in the Pont des Demoiselles neighborhood: Mosquitoes are captured by suction using traps/stations (sealers) made in France that mimic human scent. This is an environmentally friendly system. Implementation details - Technical notice: Installation of three “anti-mosquito” stations within the Pont des Demoiselles neighborhood. These stations combine two factors: 1) The slow release of CO² 2) Volatile organic compounds. In addition to their effectiveness, these stations also have the advantage of respecting biodiversity. They will be placed near public facilities.
71;2022;Plant trees and shared gardens wherever possible!;"A neighbor is using a piece of land from the local supermarket to plant seeds and shrubs with their approval; it's private property but visible to everyone. I think the idea is excellent. Why not ""requisition"" all accessible plots of land and plant trees, flowers, vegetables, and let the neighborhood residents take care of them? I believe we need to plant as many trees as possible to help the city maintain lower temperatures, reduce our consumption, make the city more beautiful, and additionally, it could allow us to harvest fruits and vegetables for those who do not have a garden or enough space, or who cannot afford to buy fruits and vegetables. Les Minimes was agricultural land, the soil is rich.

Implementation details - Technical opinion:
The Community has launched a Tree Plan since 2019, with nearly 20,000 trees already planted since then. This idea is therefore feasible on public spaces and to implement it, it will be necessary to work in partnership with neighborhood associations on citizen greening projects to find suitable sites. It will then be appropriate to carry out a diagnostic for urban plantings, always because of the networks. Regarding food cultivation, this idea can be part of creating a shared garden, especially in the context of the upcoming redevelopment of the Bourbaki neighborhood, with public consultations expected to start from 2023."
34;2022;Pedestrian redevelopment, bicycle lanes, and greening of Charles de Fitte avenues;"Charles de Fitte Alley could use some simple modifications to encourage and facilitate its use by pedestrians and cyclists, especially in the section between Fer-à-Cheval and Place Saint-Cyprien. Currently, buses, cars, and trucks dominate this road, while pedestrians weave through each other and various kinds of litter on sidewalks that are too narrow. As for cyclists, they face the threat of buses and the reckless overtaking by irritated motorcyclists or drivers. My proposals: 1) reworked and better-identified ground markings so that everyone can find their place safely. 2) redefined and more efficient parking zones. For example, by creating angled parking zones, rather than along the edges of sidewalks. 3) always more trees and greenery, especially around the clinic/maternity ward, for the delight of these newborns and their parents.

Implementation modalities - Technical opinion:
Temporarily redesign Charles de Fitte alleys to facilitate, clarify, and standardize the cycling connections by adjusting the bus and bike lanes. This is only a tactical arrangement since these alleys have been identified as a structural axis of the express bike network and will therefore undergo more significant development in the coming years. Also, greening of the lateral islands between existing trees will be carried out if the project is approved."
115;2022;A sports complex in an urban area;We are a group of young friends, most of us having lived in the Soupetard neighborhood since childhood. We usually meet weekly for sports activities. We've noticed a decline in enthusiasm and civic initiatives in our neighborhood, and today we want to revitalize it through a useful and interesting project for our living environment, especially for different generations. Our project aims to build a sports complex. It will be a Five, a field the size of a city stadium but not the same. It is an enclosed area with synthetic grass and safety railings, delighting those who play 5-a-side football. The outdoor Five is a sport played according to specific rules, unlike football on city stadiums, which is much less regulated and taken less seriously by its players. This project aims to improve the image of the Soupetard neighborhood, to breathe new life into it by creating opportunities for fulfillment for residents, especially the youth. Our goals are: - to promote sports among the youth, - to enhance the Soupetard La Gloire neighborhood, - to enable young people to get involved in their neighborhood, - to improve social connections through football, - to animate the neighborhood and social cohesion, - to open the neighborhood to the rest of the metropolis, - to provide more practical and local access to sports facilities, - to create intergenerational cohesion and diversity, - to bring security and stability around the practice of football, - to provide access to quality facilities for everyone and for actors in the eastern sector, - to ensure that the youth are not wandering aimlessly, - to channel the energy of the youth. Implementation modalities - Technical opinion: The project is very interesting to meet the long-expressed needs of the neighborhood's youth. It is technically feasible. The sports department has reservations about the proposed location (within Soupetard school) due to the risk of noise pollution generated by this type of equipment and considering its proximity to residential areas. If the idea wins during the residents' vote, a consultation with the local residents will be organized. If there is strong opposition from the residents about the location proposed by the project leader, another location will be proposed for its realization: at the Soupetard garden, on the concrete esplanade below Boulevard Jacques Chirac.
177;2022;Land covered at the level of the boulodrome;This idea was submitted via a paper form by Bouliste. Construction of an indoor boulodrome that can be used by Ferdinand school, the seniors' club, CLAE, or all associations. Request currently pending with the town hall. Implementation details - Technical opinion: The proposal for a covered area must allow for the playing of pétanque and basketball. The covered surface will house a boules court that can be made available for other events. The uncovered part will be reserved for a 3x3 basketball court.
19;2022;Motion sensor night lighting;"I propose public lighting with motion sensors for nighttime use. The streetlights are turned off at night and only activate upon detecting movement for a few minutes - ensuring safety. This could be implemented on the greenway (Amidonniers), among other places. This system is already being tested in some municipalities in France (in Haute-Vienne, for example). It allows for cost savings and improves the onset and quality of sleep for both humans and birds (see studies on the subject). The investment is low and the implementation quick, with a clear return on investment both financially and in terms of citizen well-being. I hope this idea will be considered, thank you!

Implementation details - Technical opinion:
The embedded intelligence in public lighting is the ""smart"" solution for lighting and consuming just enough, while preserving wildlife and flora. However, the technical solution of ""presence"" detection by infrared radar is not optimal: this technique does not provide a sufficient guarantee of detection over time and space (external thermal environments do not allow for reliable detection in case of summer heat, which negates the expected positive effect on wildlife and flora).

The system in use in the municipality of Toulouse is based on the detection of human ""shapes,"" providing light only when there is actual use of the public space. The detection of shape refers to moving human forms.

This system has been in service since 2018 on 2000 devices in the city of Toulouse and is planned to be expanded in the coming years."
156;2022;Develop the Rond-Point des Français Libres and the Demoiselles - Mistral - Frizac - Duméril - St Joseph intersection.;"1/ Reduce the excessive paved area and vegetate the reclaimed space 2/ Improve the traffic plan of this intersection (allée des Demoiselles - allées Mistral - avenue Frizac - rues St Joseph and Duméril) 3/ Create a bike path from allée des Demoiselles to rue Duméril

Implementation details - Technical opinion:
Redevelopment of the Rond Point des Français Libres and improvement of the Demoiselles-Mistral-Frizac-Duméril-Saint-Joseph intersection: vegetation, addressing bike path discontinuities, and enhanced security of the intersection."
