project_id;project_name;description;category;cost;district;votes;district_number;rank;year
710;Trees for Wrocław - plantings throughout the city!;"Justification
The disappearing trees from the cityscape remain a pressing issue for many residents. For several years, the number of trees cut down annually has exceeded 10,000 (according to permits issued by the Department of Environment and Agriculture of the City Hall), whereas previously it was 5-6 thousand per year. This situation is caused by increasing investment pressure, as well as the poor health of many trees, which are cut down for sanitary reasons. This creates a need for new plantings in as large a number as possible, to at least partially compensate for the ecological and landscape losses. That is why the Trees for Wrocław project was created. It includes planting projects in many parts of the city: along streets, on wastelands, in courtyards, and in places where trees have been cut down or fallen.

The implementation of this project will contribute to the improvement of the aesthetics of our city, and in the longer term, also to the improvement of air quality and microclimate. It will also have a positive impact on the well-being of residents - because that is exactly how trees work!";greenery/recreation;1000000;Fabryczna;13938;1.0;1;2016
15;"Green cycling and walking ring road of Wrocław; Stage I - section connecting Gaj, Wojszyce, Ołtaszyn, Partynice, Jagodno, Tarnogaj Krzyki, Borek.";Justification;walking/cycling infrastructure;1000000;Krzyki;12348;2.0;2;2016
764;Lighting of Grabiszyński Park (Romera Avenue and paths to Grabiszyński Cemetery and Racławicka Street along the clearings);"Justification
Such is our climate... that for half the year, it gets dark in the late afternoon. Many people, for this reason, give up on outdoor recreation. Lighting up Grabiszyński Park, even until 10:00 PM, would enable its better use. Walkers, runners, dog owners, mothers, and fathers with children, all those wishing to take a shortcut through the park, will be healthier and safer. I suggest we light it up ;)";other;1000000;Krzyki;7291;2.0;3;2016
685;Playground for Older Children in Grabiszyński Park and Something Extra for Toddlers;"Justification
Playground for Older Children in Grabiszyński Park and Something Extra for Toddlers
The playground for older children in Grabiszyński Park is a long-awaited investment by the residents. It is intended to complement the winning project no. 616 WBO (playground for younger children) from 2015, which requires additional equipment, for which we are also applying.
The equipment for the facility intended for older children includes: a very attractive large rope device with slides, double swings, a trampoline, and a zip line eagerly anticipated by the children, known as ""tyrolka"". All this is to be located on a fenced gravel surface in the green surroundings of the Mała Sobótka hill near Racławicka Street. For the small playground, which is in the design phase, we plan to add devices that would make it more attractive for toddlers.
The project is intended to serve children from all over Wrocław, as there is a lack of such attractively equipped facilities for this age group throughout the city. Many new housing estates are being and will continue to be developed around the playground area, so there will constantly be new users of the playground. A bridge connection with the Oporów estate will enable quick access to the playground for people from further areas. Thanks to the construction of the facility, we will provide young Wrocławians with plenty of attractions - rest and physical activity in the fresh air, and safe play.";playgrounds;560000;Krzyki;6663;2.0;4;2016
379;"Parking at ""Dobrzyńska"" - facilitating access for Wrocław residents to the city's largest medical center.";"Justification
The project involves the creation of a car park in the center of Wrocław at two adjacent locations near the building at Dobrzyńska Street 21/23 and near the Church of St. Maurice. The project was submitted on a paper form, and a scan of the application is included in the attachment.";roads;750000;Krzyki;6383;2.0;5;2016
155;Planting young trees in the area of Wrocław;"Justification
Planting 250 trees in various locations. The project was submitted on a paper form, a scan of the application is attached.";greenery/recreation;100000;Fabryczna;5287;1.0;6;2016
731;Bike-friendly Wrocław 2016 – streets welcoming to cyclists;"Justification
The project envisages improving the safety and comfort of cyclists on the streets of Wrocław by creating bicycle lanes, and where space is lacking, painting sharrows (sign P-27) in places where there is no cycling infrastructure or it is incomplete (only on one side of the road or discontinuous).
The project includes, among others, the following streets:
- Janickiego, Kraińskiego, Św. Ducha
- Kochanowskiego
- Zachodnia
- Borowska
- Wyszyńskiego
- Jedności Narodowej
- Podwale
- Traugutta
- Wyścigowa
- Żmigrodzka
- Plac Społeczny
- Pułaskiego
and many others. A detailed description of the project along with a list of proposed locations is included in the attachment.";walking/cycling infrastructure;1000000;Śródmieście;4799;4.0;7;2016
201;Ping-pong tables and volleyball courts throughout Wrocław.;"Justification
Movement is health. In Wrocław, there is a high demand for places where one can actively spend time outdoors. Do you dream of going to play volleyball with friends on green grass or table tennis (ping-pong)? This project is just for you. Let's do something for us, for our children and youth, to pull them away from computers and TVs. The project covers many housing estates and is addressed to all residents of Wrocław. Keep your fingers crossed for our project, tell your family, neighbors, and friends about it! Help get the youth out of their homes and into the fresh air!
Volleyball courts - with grass surfaces for recreational play, court boundaries - a strip 40-50 cm wide filled with sand or small stones. A total of 13 courts in positions 1-13.
Ping-pong tables - concrete, permanently installed with either stainless steel or galvanized steel nets, mounted in a way that prevents theft. A total of 40 tables.
Sport-type benches - one per location - near the ping-pong tables
Locations:
1. Biskupin, Canaletta Street
2. Osobowicki Forest
3. Popowicki Park
4. Western Park
5. Złotnicki Park – clearing in the southern part
6. Clearing north of the Skarbowców hill
7. Osobowicka Street
8. Sukielicka Street
9. Piłkarzy Street (Rędzin)
10. Green area around Golicka Street
11. Kukuczki Street (Gaj Południe)
12. Kleciński Park
13. Główna Street - Stabłowice
14. Park at Orzechowa Street
15. Park at the junction of Bezpieczna and Osobowicka Streets
16. Park area by the Oder River at Kasprowicza Street
17. New park at Królewska Street
18. Meadow near the pond in the area of Chałupnicza Street.
19. Playground at Złotostocka Street
20. Trawowa Street
21. Pieprzna Street (Żerniki)
Detailed locations in the attachment and on the map.";sport;1000000;Fabryczna;3974;1.0;8;2016
18;Neptune's Fountain at Nowy Targ Square;"Justification
The reconstruction of the historical Neptune sculpture at Nowy Targ Square, destroyed during World War II. In its current form, the square lacks a central point that completes the composition. The dark surfaces of which the square is built accumulate heat during hot days, and the fountain would also help to prevent this, which would also improve the comfort of the users. One could consider holding a contest for a contemporary, figurative version of Neptune inspired by the historical sculpture.";other;750000;Stare Miasto;3632;5.0;9;2016
4;Construction of a waterfront with a slip for the future city boat marina;"Justification
The Oder Bay and the system of flood embankments were created in 1934 during the works on the regulation of the Oder. The plans included using the bay as a marina for boats ""bootshafen"". It is practically the only suitable place in the area of the Great Island for these purposes. Since 1973, the Scout Water Center ""Stanica"" has been operating over the bay.

This area is covered by a local spatial development plan, which foresees, among others: marinas, outdoor sports facilities, park greenery, and recreational clearings.

The project concerns the construction of a publicly accessible slip for sports and tourist units, motor and sailing boats up to 12 m in length, and waterfronts, as well as the installation of floating docks. Electrical and water installations should be brought to the waterfront.

In developing the shores, the potential of the bay as a location for a publicly accessible city marina should be considered. The location of a boat launch ramp (slip) there is one of the first conditions for its further development.

In the immediate vicinity of the marina, there are a number of tourist attractions such as the ZOO, Centennial Hall, Szczytnicki Park with a multimedia fountain, and the Japanese Garden. The marina will be the best place for docking and stopping for tourist units sailing on the Oder, including international water tourists.

The project will enhance the recreational qualities of this area and the adjacent areas by developing them and creating additional attractive places for rest and recreation.

The facilities will be publicly accessible, and the beneficiaries of the project will be:
- residents of Wrocław, owners of various boats, who will be able to safely launch their unit on the waters of the bay.
- people using the marina and boat rental,
- water tourists, including international ones.";greenery/recreation;1000000;Krzyki;3243;2.0;10;2016
564;Bicycle connection between the Main Station and Social Square;"Justification
The construction of a bicycle route on Dworcowa Street, which will enable convenient access from the Main Railway Station to the vicinity of the Grunwaldzki Bridge.";walking/cycling infrastructure;1000000;Psie Pole;3099;3.0;11;2016
337;Unity Park – urban recreation;"Justification
The project includes the construction of the recreational part of Unity Park, which is intended to serve all residents of Wrocław, including those living in other districts than Psie Pole, where the park is located. As part of the funds obtained in the WBO 2014 and 2015, a section of the park along Królewska Street from Irkucka to the vicinity of Kurska Street will soon be constructed. A concept for the development of the entire Park has also been completed, on which this proposal is based.
Within this project, the implementation of the city-wide part of the Park will take place, which will include the construction of: a green zone designated for walking and other forms of relaxation; a recreational zone along with obstacle overcoming equipment (parkour), urban climbing devices (bouldering), a pétanque court, and a table tennis table.
The recreational part will be equipped with appropriate infrastructure: park lanterns, benches, bicycle racks, urban furniture, trash bins, and greenery plantings: trees, shrubs.
The presented project has been repeatedly consulted with the residents of Psie Pole and also addresses the unmet significant needs of all Wrocławians. As various surveys, studies, and observations show, the residents of Wrocław lack recreational places where they could spend their time healthily and actively. The Park will be another of Wrocław's ""green lungs,"" which is very important from the perspective of the high level of air pollution in our city.";greenery/recreation;1000000;Fabryczna;3026;1.0;12;2016
532;Expansion of the sports base in Wrocław's Osobowice - sports zone at Primary School No. 21;"Justification
The project aims to enhance the significance of Osobowice as a sports and recreational hub for all residents of Wrocław. This district has long served as a relaxation spot for people from our city and its surroundings, although it has radically changed its character over the years. Before the war, it offered exclusive entertainments - restaurants, ballrooms, an observation tower, a dock for cruise ships, and today it attracts with numerous outdoor attractions people thirsty for nature, outdoor relaxation, and those who like to spend their free time actively. What we lack in this place are multifunctional courts for team sports such as basketball or volleyball, as well as all kinds of sports equipment. The project fills this gap by creating a SPORTS ZONE at SP 21, thereby enhancing the existing meeting place for those interested in actively spending their free time. All residents of Wrocław who enjoy sports and outdoor recreation will benefit from this project. A more detailed description is in the attachment.";education;1000000;Psie Pole;3008;3.0;13;2016
