{'voix_estimées': 175, 'position_attendue': 30}
{'voix_estimées': 100, 'position_attendue': 35}
{'voix_estimées': 75, 'position_attendue': 50}
{'voix_estimées': 100, 'position_attendue': 30}
{'voix_estimées': 125, 'position_attendue': 50}
{'voix_estimées': 125, 'position_attendue': 50}
{'voix_estimées': 90, 'position_attendue': 40}
{'voix_estimées': 250, 'position_attendue': 15}
{'voix_estimées': 135, 'position_attendue': 30}
{'voix_estimées': 70, 'position_attendue': 60}
{'voix_estimées': 60, 'position_attendue': 90}
{'voix_estimées': 70, 'position_attendue': 60}
{'voix_estimées': 100, 'position_attendue': 40}
{'voix_estimées': 100, 'position_attendue': 40}
{'voix_estimées': 75, 'position_attendue': 75}
{'voix_estimées': 125, 'position_attendue': 50}
{'voix_estimées': 75, 'position_attendue': 50}
{'voix_estimées': 110, 'position_attendue': 30}
{'voix_estimées': 50, 'position_attendue': 85}
{'voix_estimées': 90, 'position_attendue': 40}
{'voix_estimées': 120, 'position_attendue': 25}
{'voix_estimées': 105, 'position_attendue': 35}
{'voix_estimées': 70, 'position_attendue': 40}
{'voix_estimées': 100, 'position_attendue': 50}
{'voix_estimées': 300, 'position_attendue': 15}
{'voix_estimées': 65, 'position_attendue': 75}
{'voix_estimées': 120, 'position_attendue': 25}
{'voix_estimées': 100, 'position_attendue': 40}
{'voix_estimées': 60, 'position_attendue': 60}
{'voix_estimées': 85, 'position_attendue': 50}
{'voix_estimées': 110, 'position_attendue': 25}
{'voix_estimées': 150, 'position_attendue': 25}
{'voix_estimées': 45, 'position_attendue': 75}
{'voix_estimées': 45, 'position_attendue': 80}
{'voix_estimées': 70, 'position_attendue': 60}
{'voix_estimées': 120, 'position_attendue': 20}
{'voix_estimées': 75, 'position_attendue': 90}
