project_id;cost;real_votes;real_rank;predicted_votes;predicted_rank;city;prediction_type
263;12000.0;590;1;139.54775958162782;55;Toulouse;ML/PVM
320;250000.0;559;2;426.5208090100312;2;Toulouse;ML/PVM
394;10000.0;436;3;109.93453417151734;81;Toulouse;ML/PVM
333;150000.0;366;4;106.00477841609498;83;Toulouse;ML/PVM
265;201000.0;334;5;437.8271779709986;1;Toulouse;ML/PVM
249;250000.0;334;5;104.08552181751564;85;Toulouse;ML/PVM
298;60000.0;311;7;67.73396766830182;121;Toulouse;ML/PVM
332;250000.0;299;8;221.7131853512328;19;Toulouse;ML/PVM
335;10000.0;287;9;75.99020906162762;105;Toulouse;ML/PVM
299;250000.0;284;10;189.2858471296036;28;Toulouse;ML/PVM
260;150000.0;276;11;314.3919834945588;10;Toulouse;ML/PVM
305;250000.0;276;11;328.3984035496104;7;Toulouse;ML/PVM
287;250000.0;273;13;132.60396010637768;59;Toulouse;ML/PVM
294;200000.0;268;14;139.13101239392165;56;Toulouse;ML/PVM
404;250000.0;267;15;297.3894426646671;12;Toulouse;ML/PVM
288;250000.0;263;16;140.33771223164788;54;Toulouse;ML/PVM
289;120000.0;255;17;77.80901911968547;103;Toulouse;ML/PVM
274;23000.0;249;18;115.53761477884674;75;Toulouse;ML/PVM
315;50000.0;249;18;77.3874686500431;104;Toulouse;ML/PVM
242;100000.0;245;20;75.93511997468991;106;Toulouse;ML/PVM
388;30000.0;236;21;120.26133739135504;70;Toulouse;ML/PVM
281;42000.0;229;22;63.86780253320516;130;Toulouse;ML/PVM
290;8000.0;217;23;44.401565656447005;163;Toulouse;ML/PVM
311;150000.0;216;24;129.03689217716757;63;Toulouse;ML/PVM
251;10000.0;213;25;53.926261359091;151;Toulouse;ML/PVM
256;10000.0;213;25;61.033245990656;139;Toulouse;ML/PVM
400;250000.0;212;27;298.19143733767106;11;Toulouse;ML/PVM
308;250000.0;210;28;329.6688569029502;6;Toulouse;ML/PVM
300;1000.0;210;28;88.65879010599849;94;Toulouse;ML/PVM
382;250000.0;201;30;340.21850689209845;5;Toulouse;ML/PVM
321;80000.0;194;31;203.9794861064932;23;Toulouse;ML/PVM
235;200000.0;190;32;135.95957990482597;57;Toulouse;ML/PVM
397;250000.0;186;33;322.0501168805613;9;Toulouse;ML/PVM
343;215000.0;186;33;132.48521681034617;60;Toulouse;ML/PVM
322;1000.0;184;35;127.44102860812252;64;Toulouse;ML/PVM
363;250000.0;180;36;164.98257046449126;41;Toulouse;ML/PVM
345;240000.0;178;37;202.81888496951865;25;Toulouse;ML/PVM
279;250000.0;177;38;278.5351784792988;14;Toulouse;ML/PVM
282;215000.0;175;39;125.04804439830129;66;Toulouse;ML/PVM
380;13000.0;170;40;69.39618507259183;117;Toulouse;ML/PVM
390;8000.0;170;40;73.50711563528023;111;Toulouse;ML/PVM
232;50000.0;168;42;49.15586876136211;158;Toulouse;ML/PVM
309;150000.0;166;43;132.29421714544327;61;Toulouse;ML/PVM
313;1000.0;165;44;55.89873639510649;149;Toulouse;ML/PVM
