top_k;accuracy;recall;precision;f1_score;jaccard_index;label
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
2;0.9781420765027322;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
3;0.9672131147540983;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
4;0.9562841530054644;0.0;0.0;0.0;0.0;tls_knn_pca2_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_knn_pca2_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_knn_pca2_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_knn_pca2_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_knn_pca2_full_1
9;0.9234972677595629;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.125;tls_knn_pca2_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_knn_pca2_full_1
11;0.912568306010929;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;tls_knn_pca2_full_1
12;0.9016393442622951;0.25;0.25;0.25;0.14285714285714285;tls_knn_pca2_full_1
13;0.8907103825136612;0.23076923076923078;0.23076923076923078;0.23076923076923078;0.13043478260869565;tls_knn_pca2_full_1
14;0.8797814207650273;0.21428571428571427;0.21428571428571427;0.21428571428571427;0.12;tls_knn_pca2_full_1
15;0.8797814207650273;0.26666666666666666;0.26666666666666666;0.26666666666666666;0.15384615384615385;tls_knn_pca2_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_pva_pca10_full_1
2;0.9890710382513661;0.5;0.5;0.5;0.3333333333333333;tls_pva_pca10_full_1
3;0.9781420765027322;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
4;0.9672131147540983;0.25;0.25;0.25;0.14285714285714285;tls_pva_pca10_full_1
5;0.9672131147540983;0.4;0.4;0.4000000000000001;0.25;tls_pva_pca10_full_1
6;0.9562841530054644;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
7;0.9453551912568307;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.16666666666666666;tls_pva_pca10_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_pva_pca10_full_1
9;0.9234972677595629;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.125;tls_pva_pca10_full_1
10;0.912568306010929;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_pva_pca10_full_1
11;0.912568306010929;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.15789473684210525;tls_pva_pca10_full_1
12;0.912568306010929;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
13;0.9016393442622951;0.3076923076923077;0.3076923076923077;0.3076923076923077;0.18181818181818182;tls_pva_pca10_full_1
14;0.8907103825136612;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.16666666666666666;tls_pva_pca10_full_1
15;0.8907103825136612;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_pva_pca10_full_1
1;0.9890710382513661;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
2;0.9781420765027322;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
3;0.9672131147540983;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
4;0.9562841530054644;0.0;0.0;0.0;0.0;tls_simple_prompt_full_1
5;0.9562841530054644;0.2;0.2;0.20000000000000004;0.1111111111111111;tls_simple_prompt_full_1
6;0.9453551912568307;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.09090909090909091;tls_simple_prompt_full_1
7;0.9344262295081968;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.07692307692307693;tls_simple_prompt_full_1
8;0.9344262295081968;0.25;0.25;0.25;0.14285714285714285;tls_simple_prompt_full_1
9;0.9344262295081968;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2;tls_simple_prompt_full_1
10;0.9453551912568307;0.5;0.5;0.5;0.3333333333333333;tls_simple_prompt_full_1
11;0.9344262295081968;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.29411764705882354;tls_simple_prompt_full_1
